Time,Speed,TargetSpeed,VirtualTargetSpeed,StepIndex,Torque,Slope,State
15.55,14.2312,15,15.6137,6,62.6351,5,0
15.6,14.2402,15,15.6137,6,62.211,5,0
15.65,14.2486,15,15.6137,6,61.8086,5,0
15.7,14.2567,15,15.6137,6,61.427,5,0
15.75,14.2643,15,15.6137,6,61.065,5,0
15.8,14.2716,15,15.6137,6,60.7216,5,0
15.85,14.2784,15,15.6137,6,60.3959,5,0
15.9,14.2849,15,15.6137,6,60.0869,5,0
15.95,14.2911,15,15.6137,6,59.7938,5,0
16,14.297,15,15.6137,6,59.5158,5,0
16.05,14.3025,15,15.6137,6,59.252,5,0
16.1,14.3078,15,15.6137,6,59.0019,5,0
16.15,14.3128,15,15.6137,6,58.7646,5,0
16.2,14.3176,15,15.6137,6,58.5395,5,0
16.25,14.3221,15,15.6137,6,58.326,5,0
16.3,14.3263,15,15.6137,6,58.1234,5,0
16.35,14.3304,15,15.6137,6,57.9313,5,0
16.4,14.3342,15,15.6137,6,57.7491,5,0
16.45,14.3379,15,15.6137,6,57.5762,5,0
16.5,14.3413,15,15.6137,6,57.4123,5,0
16.55,14.3446,15,15.6137,6,57.2567,5,0
16.6,14.3477,15,15.6137,6,57.1092,5,0
16.65,14.3507,15,15.6137,6,56.9692,5,0
16.7,14.3535,15,15.6137,6,56.8365,5,0
16.75,14.3561,15,15.6137,6,56.7106,5,0
16.8,14.3586,15,15.6137,6,56.5911,5,0
16.85,14.361,15,15.6137,6,56.4778,5,0
16.9,14.3633,15,15.6137,6,56.3703,5,0
16.95,14.3654,15,15.6137,6,56.2684,5,0
17,14.3675,15,15.6137,6,56.1717,5,0
17.05,14.3694,15,15.6137,6,56.08,5,0
17.1,14.3712,15,15.6137,6,55.993,5,0
17.15,14.373,15,15.6137,6,55.9104,5,0
17.2,14.3746,15,15.6137,6,55.8321,5,0
17.25,14.3762,15,15.6137,6,55.7579,5,0
17.3,14.3777,15,15.6137,6,55.6874,5,0
17.35,14.39,15,15.8315,7,65.4222,5,0
17.4,14.4016,15,15.8315,7,64.8687,5,0
17.45,14.4127,15,15.8315,7,64.3437,5,0
17.5,14.4232,15,15.8315,7,63.8457,5,0
17.55,14.4332,15,15.8315,7,63.3734,5,0
17.6,14.4426,15,15.8315,7,62.9253,5,0
